
-----------------07/22/2018 23:30:26-------------------

17.57/2.78/0/1/4/;20.70/10.24/0/2/4/;36.56/9.80/0/1/3/;12.29/5.28/0/2/4/;18.84/6.98/0/4/7/;
7.90/2.77/0/1/4/;12.15/5.93/0/2/5/;16.02/10.98/0/1/4/;9.12/3.73/0/1/5/;12.01/7.02/0/1/4/;

-----------------07/22/2018 23:51:14-------------------

23.44/2.76/0/1/4/;19.91/10.20/0/2/4/;21.45/10.99/0/5/11/;19.23/9.60/0/1/3/;18.92/7.04/0/1/4/;
11.22/2.75/0/1/3/;12.94/5.99/0/3/5/;16.88/11.06/0/1/4/;12.42/3.76/0/1/3/;17.98/7.06/0/1/3/;

-----------------07/22/2018 23:55:24-------------------

19.36/2.77/0/2/5/;20.81/10.23/0/2/4/;22.56/11.07/0/3/8/;17.58/5.31/0/2/4/;21.10/11.28/0/4/7/;
7.60/2.77/0/1/4/;10.69/5.96/0/2/5/;16.88/10.99/0/1/4/;12.03/3.76/0/1/4/;18.50/7.03/0/1/3/;
