

-----------------07/24/2018 22:06:41-------------------

25.19/2.76/0/5/8/;32.89/5.98/0/5/16/;31.14/11.05/0/9/19/;24.87/9.62/0/5/11/;45.23/20.61/0/6/11/;
13.70/2.76/0/1/6/;19.16/6.01/0/7/11/;20.59/11.10/0/1/5/;12.51/3.75/0/3/6/;20.51/7.02/0/4/10/;

-----------------07/24/2018 22:11:30-------------------

24.22/7.13/0/7/14/;30.05/10.47/0/3/8/;27.17/11.06/0/5/16/;19.44/3.80/0/2/5/;24.97/7.09/0/6/11/;
19.23/2.81/0/1/4/;14.62/6.04/0/3/6/;21.35/11.11/0/1/5/;25.09/3.81/0/1/5/;44.43/7.04/0/2/5/;

-----------------07/24/2018 22:16:45-------------------

20.27/2.78/0/3/10/;23.35/14.51/0/6/13/;29.92/10.99/0/3/8/;17.81/3.77/0/5/11/;26.94/11.34/0/6/11/;
12.99/2.76/0/3/7/;22.35/5.96/0/9/12/;27.58/11.06/0/5/13/;24.01/3.79/0/3/8/;18.80/7.04/0/2/6/;

-----------------07/24/2018 22:22:51-------------------

