-----------------08/01/2018 15:59:00-------------------

27.39/2.76/0/1/12/;26.64/10.20/0/5/8/;28.41/10.99/0/3/6/;23.28/3.71/0/1/5/;29.66/13.33/0/1/5/;
9.60/2.75/0/3/7/;14.44/5.97/0/3/6/;29.84/11.01/0/1/5/;18.38/3.73/0/1/4/;20.11/7.04/0/2/5/;

-----------------08/01/2018 16:03:37-------------------

21.39/2.81/0/5/9/;26.26/10.23/0/3/6/;49.44/9.99/0/3/6/;22.29/9.90/0/1/5/;24.16/9.23/0/2/8/;
17.72/2.76/0/1/4/;24.62/5.95/0/3/6/;30.42/11.03/0/1/5/;16.19/5.32/0/2/5/;24.78/7.03/0/2/5/;

-----------------08/01/2018 16:09:13-------------------

26.21/2.77/0/7/12/;26.54/14.55/0/5/10/;34.33/11.05/0/1/4/;18.74/5.29/0/2/5/;34.45/15.65/0/2/5/;
16.56/2.78/0/1/6/;17.16/5.97/0/3/7/;24.21/11.07/0/1/4/;12.76/3.73/0/1/4/;25.19/7.03/0/2/9/;

-----------------08/01/2018 16:18:41-------------------

22.42/2.78/0/3/10/;36.00/12.25/0/3/8/;24.14/11.01/0/6/9/;26.08/9.66/0/1/6/;24.06/7.08/0/6/9/;
14.19/2.78/0/1/4/;23.23/5.97/0/3/6/;22.28/11.09/0/1/4/;17.99/3.70/0/1/6/;28.81/15.59/0/0/3/;

-----------------08/01/2018 16:23:11-------------------

20.60/2.76/0/3/10/;26.39/5.94/0/2/8/;47.09/9.81/0/1/4/;21.31/3.74/0/3/8/;30.25/11.38/0/5/10/;
15.33/2.77/0/1/5/;19.51/6.01/0/3/8/;21.63/11.10/0/1/4/;15.51/3.73/0/1/6/;23.50/7.02/0/2/5/;
